epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1541.1,1.32748,0.92398,0.02347,0.93773,0.88639,0.95511,0.66847,1.1016,0.663,0.025,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,1571.95,1.33627,0.92064,0.02329,0.92664,0.88897,0.9513,0.65891,1.12575,0.66787,0.02583,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,1603.32,1.32669,0.91319,0.02331,0.92186,0.89699,0.958,0.66803,1.10598,0.64735,0.02482,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,1635.18,1.32689,0.90916,0.02324,0.93503,0.90241,0.96255,0.68618,1.08772,0.63292,0.02413,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,1666.13,1.32513,0.90589,0.02332,0.93572,0.89415,0.96219,0.67766,1.09992,0.63375,0.02465,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,1696.91,1.31768,0.90426,0.02311,0.92749,0.87396,0.94792,0.66394,1.10384,0.6656,0.02447,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,1727.93,1.31827,0.9052,0.02309,0.9401,0.881,0.9602,0.68962,1.05778,0.62975,0.0236,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,1758.9,1.31388,0.90015,0.023,0.93243,0.90083,0.95916,0.67576,1.08838,0.64718,0.02437,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,1789.74,1.31533,0.89776,0.023,0.94306,0.90531,0.96805,0.69421,1.05422,0.62323,0.02352,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,1820.85,1.3145,0.90575,0.02293,0.93703,0.86884,0.95246,0.67249,1.07366,0.66071,0.02393,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,1853,1.30406,0.88926,0.02286,0.93422,0.89049,0.96226,0.67967,1.06876,0.6321,0.02411,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,1885.69,1.30592,0.89057,0.02275,0.94278,0.89596,0.96006,0.68808,1.07324,0.60936,0.02432,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,1917.12,1.2982,0.88308,0.0227,0.94518,0.89763,0.96519,0.68314,1.06123,0.61144,0.02363,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,1948.38,1.3025,0.88202,0.0227,0.93542,0.90339,0.96411,0.68837,1.06614,0.61668,0.02381,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,1980.24,1.29724,0.8763,0.02265,0.94234,0.90403,0.9658,0.68748,1.07355,0.61255,0.024,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,2010.92,1.30074,0.88465,0.02283,0.94365,0.90339,0.96631,0.69191,1.04353,0.60213,0.02342,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
